13,84,13,5,70,76,5,84,1
2,180,84,16,1,1,1,2,1
31,2,1,17,180,13,16,13,1
12,5,4,9,1,5,104,5,31
34,104,2,13,13,1,17,1,4
13,16,6,8,10,2,2,5,5
4,2,5,34,16,16,4,4,3
180,13,180,6,2,8,8,5,13
104,60,8,12,1,8,10,2,16
10,33,76,2,6,9,6,6,6
8,3,1,1,6,5,1,13,2
2,13,5,6,33,13,3,8,17
60,5,16,33,2,13,6,34,1
2,5,4,180,2,180,4,2,5
5,13,3,2,9,104,9,1,5
3,8,33,4,4,4,6,33,12
1,4,16,10,2,1,3,6,2
5,10,6,76,1,6,1,5,9
17,2,10,1,3,16,16,16,6
2,2,3,1,31,60,13,1,13
76,5,1,13,2,2,2,1,70
2,31,1,2,6,12,5,12,10
1,6,13,1,3,2,13,2,6
84,3,1,104,2,6,84,6,6
2,33,60,5,4,60,5,1,10
1,4,6,70,180,2,13,5,5
6,4,9,2,13,70,1,1,2
17,9,2,2,4,31,16,16,1
34,10,4,5,2,10,5,6,4
6,5,5,34,2,1,12,8,4
180,5,13,2,12,16,10,84,180
12,12,2,16,1,2,8,4,16
5,84,70,6,3,12,2,70,13
16,2,1,5,5,8,13,2,5
5,2,33,16,17,5,3,13,8
13,60,84,1,2,2,60,13,31
12,6,8,1,33,8,2,2,84
2,1,2,1,2,2,3,12,9
1,5,4,2,13,3,5,33,1
60,4,13,1,1,76,31,10,2
4,1,16,84,16,17,1,4,6
5,5,1,1,76,5,76,16,70
10,70,1,6,8,104,4,2,13
13,1,1,12,6,5,180,5,1
2,2,2,3,5,9,13,31,34
33,8,8,17,60,84,6,2,17
31,2,5,3,5,2,33,8,5
2,3,12,4,1,180,1,76,1
8,16,104,33,104,1,2,5,5
6,31,12,10,6,4,5,5,6
16,180,3,60,5,1,4,180,3
6,12,16,4,3,16,1,1,12
3,8,10,13,84,5,6,3,16
1,17,31,5,9,1,1,12,33
1,5,17,6,5,1,16,60,4
5,2,34,9,6,33,8,34,2
70,76,2,6,8,13,6,1,2
13,2,76,12,16,5,2,3,5
76,6,5,2,34,3,104,6,60
9,1,180,76,31,4,2,9,13
4,104,3,2,1,34,34,13,1
1,16,5,8,70,2,9,4,8
5,6,2,180,13,6,12,17,6
2,13,5,5,10,6,5,1,12
8,13,6,31,12,4,70,2,76
3,34,4,13,4,6,2,6,2
2,13,6,13,2,13,6,104,3
104,1,13,8,6,13,4,5,104
4,6,6,4,1,12,17,2,2
9,4,12,104,12,1,5,10,8
8,1,2,2,8,3,2,104,2
33,6,60,5,60,84,12,3,60
16,70,2,84,84,2,33,4,104
6,12,1,4,5,2,1,70,6
5,2,13,1,104,3,70,76,2
6,9,6,12,1,31,4,6,76
1,1,5,5,4,6,60,9,8
6,3,5,2,6,4,6,180,16
5,1,4,6,5,10,5,2,2
16,34,9,4,13,17,2,8,4
84,1,12,13,5,6,2,6,5
13,12,2,5,5,6,12,31,4
1,17,2,8,2,1,180,12,5
6,16,31,3,34,4,5,3,33
4,1,6,2,4,5,1,5,12
5,6,8,70,76,5,84,13,13
1,5,2,6,16,12,8,60,1
4,4,17,60,8,34,2,16,3
3,2,5,31,12,5,34,4,34
70,6,104,3,13,33,76,2,2
2,8,70,16,17,70,13,17,180
12,76,34,5,5,2,31,1,84
