"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",1.44865216233298,1.13729183092002,1.27377347040389,0.202743709822108
"2","MAS",NA,NA,NA,NA
"3","LEFTOVER",0.010513498699296,0.0267238295628588,0.393412877992151,0.694014559656317
"4","NOS",0.000622548830589308,0.00459518129862473,0.135478622089541,0.892233465516652
"5","UNDO",0.0364336181611837,1.3193557144415,0.0276147044821847,0.977969453657388
"6","MAS:LEFTOVER",NA,NA,NA,NA
"7","MAS:NOS",NA,NA,NA,NA
"8","MAS:UNDO",NA,NA,NA,NA
"9","LEFTOVER:NOS",-2.00708125823587e-05,0.000113137551182619,-0.177401865009096,0.859192742486975
"10","LEFTOVER:UNDO",-0.00163966460681491,0.00551801805538,-0.297147379794501,0.7663539931682
"11","NOS:UNDO",0.000784675215109019,0.00585667102853412,0.133979732050174,0.893418601403317
