"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",2.49615929640447,0.247404774027559,10.0893740074976,6.15608397558866e-24
"2","MAS",NA,NA,NA,NA
"3","LEFTOVER",-0.020201364857193,0.00989855233473677,-2.04084033442959,0.0412666999848921
"4","NOS",-0.00965233710959854,0.00426474486545539,-2.26328594420334,0.0236180681825869
"5","UNDO",0.0834501230531861,0.338725949633272,0.246364717977867,0.805399915613527
"6","MAS:LEFTOVER",NA,NA,NA,NA
"7","MAS:NOS",NA,NA,NA,NA
"8","MAS:UNDO",NA,NA,NA,NA
"9","LEFTOVER:NOS",0.000356319487736033,0.000165445483658908,2.15369727753126,0.0312639197940801
"10","LEFTOVER:UNDO",0.0219927088769602,0.0090436106939001,2.43185046563252,0.0150219076581991
"11","NOS:UNDO",-0.0294399647580008,0.0178733422747991,-1.64714379131598,0.0995284939117354
