"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",7.13098788331832,3.3230160180748,2.14593846208712,0.031877888676989
"2","MAS",NA,NA,NA,NA
"3","LEFTOVER",0.147348176592761,0.229987812889478,0.640678193950954,0.52173178457061
"4","NOS",-0.0163199013228333,0.0103701041143351,-1.5737451758342,0.115546373230766
"5","UNDO",-5.71324735304205,3.27378146837365,-1.74515232865567,0.0809583567998343
"6","MAS:LEFTOVER",NA,NA,NA,NA
"7","MAS:NOS",NA,NA,NA,NA
"8","MAS:UNDO",NA,NA,NA,NA
"9","LEFTOVER:NOS",-0.000462402382404323,0.000716122536815488,-0.645702877136882,0.518471796935535
"10","LEFTOVER:UNDO",-0.0213075658762718,0.0313379431189236,-0.679928666518166,0.496549629351443
"11","NOS:UNDO",0.0186629965817509,0.0118367168032643,1.57670381846122,0.114863691373141
