"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",1.86125028719608,4.82291181371178,0.385918374436051,0.699557121967897
"2","MAS",NA,NA,NA,NA
"3","LEFTOVER",-0.00260104367434075,0.234269110443934,-0.0111028025394037,0.991141427275201
"4","NOS",0.000344874583691282,0.0137016334980364,0.0251703261323335,0.979919105770442
"5","UNDO",3.91707364263424,3.80589778678275,1.02921146653953,0.303380315211686
"6","MAS:LEFTOVER",NA,NA,NA,NA
"7","MAS:NOS",NA,NA,NA,NA
"8","MAS:UNDO",NA,NA,NA,NA
"9","LEFTOVER:NOS",4.91972039062083e-05,0.000665276798147807,0.073949976976768,0.941050188802545
"10","LEFTOVER:UNDO",0.00195685304944402,0.0503568837776827,0.0388596931073656,0.969002252519486
"11","NOS:UNDO",-0.0136724690542651,0.0104557669371428,-1.30764860545001,0.190992522798917
