"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.871376258883421,1.05196693720921,0.828330461787247,0.407483376015679
"2","MAS",NA,NA,NA,NA
"3","LEFTOVER",-0.00933651183209892,0.0118529252611523,-0.787696844988905,0.430874051478355
"4","NOS",0.00536425091152857,0.00494175962139223,1.0854940997752,0.277702875512483
"5","UNDO",0.114410223526019,0.215265287357738,0.53148477829538,0.595082886698452
"6","MAS:LEFTOVER",NA,NA,NA,NA
"7","MAS:NOS",NA,NA,NA,NA
"8","MAS:UNDO",NA,NA,NA,NA
"9","LEFTOVER:NOS",4.11749737482256e-05,5.56471432483061e-05,0.739929695303432,0.459342654822326
"10","LEFTOVER:UNDO",0.00647718976464564,0.00457008232885533,1.41730264326944,0.156394462693649
"11","NOS:UNDO",NA,NA,NA,NA
