"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",2.23300545837692,0.633713337661015,3.52368385778145,0.000425591712844119
"2","MAS",NA,NA,NA,NA
"3","LEFTOVER",-0.00257123220357761,0.0215573502365995,-0.119274037641799,0.905058251607352
"4","NOS",-0.00503177297258945,0.0051839747794324,-0.970639940717532,0.331727609285615
"5","UNDO",-0.757064836177158,1.35194455129872,-0.5599821645421,0.575491603174417
"6","MAS:LEFTOVER",NA,NA,NA,NA
"7","MAS:NOS",NA,NA,NA,NA
"8","MAS:UNDO",NA,NA,NA,NA
"9","LEFTOVER:NOS",9.11407334737881e-05,0.00017740005716472,0.513758196758425,0.607421058011645
"10","LEFTOVER:UNDO",-0.00840501572978726,0.00754084858459751,-1.11459812983844,0.265022672125196
"11","NOS:UNDO",0.00935574058386276,0.0134455786688516,0.69582282877393,0.486539790765198
