"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",4.18304678173067,5.31108145545803,0.787607348298507,0.430926415114324
"2","MAS",-0.248022800415806,0.456613872547515,-0.543178416880001,0.587006965400894
"3","LEFTOVER",-0.403902805390391,0.116254511927905,-3.47429788910792,0.000512192062562617
"4","NOS",0.0754369852729522,0.125079531884323,0.603112149018262,0.546434084859734
"5","UNDO",-2.66768262253477,3.92215930966215,-0.680156620860095,0.496405296081264
"6","MAS:LEFTOVER",0.0409720253069471,0.0109507774464732,3.74147182765937,0.000182945688318844
"7","MAS:NOS",-0.00628356674169683,0.0105494813147669,-0.595628027029276,0.551423749040119
"8","MAS:UNDO",0.311255821568542,0.326053576079874,0.95461557364515,0.339772138573615
"9","LEFTOVER:NOS",-0.00105026192014789,0.000433866941114016,-2.42070049737182,0.0154906342016288
"10","LEFTOVER:UNDO",0.00218681388269668,0.0129958245628038,0.168270498892059,0.866370481385943
"11","NOS:UNDO",-0.0259724642145671,0.0209419563544402,-1.2402119350736,0.214897015056701
