"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-0.247604735833958,1.50678739499812,-0.164326259070058,0.869474310922087
"2","MAS",NA,NA,NA,NA
"3","NOS",0.00751665224959368,0.00467993668884405,1.60614400351008,0.108242273419085
"4","UNDO",0.926981603923227,2.98518001484809,0.310527874135724,0.756159565900675
"5","MAS:NOS",NA,NA,NA,NA
"6","MAS:UNDO",NA,NA,NA,NA
"7","NOS:UNDO",-0.00241575799585231,0.0103290187842056,-0.233880685699431,0.815077607990123
