"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",6.16714623424224,1.01670346781821,6.06582590642341,1.31277272506903e-09
"2","MAS",NA,NA,NA,NA
"3","LEFTOVER",0.0574323460092116,0.0412020326256466,1.39392021095246,0.163341700323385
"4","NOS",-0.0195561888622683,0.00309232578866015,-6.32410366785502,2.54706691598936e-10
"5","NUMERROR",-0.184834106087338,0.162994921515078,-1.13398690197988,0.256800042241499
"6","MAS:LEFTOVER",NA,NA,NA,NA
"7","MAS:NOS",NA,NA,NA,NA
"8","MAS:NUMERROR",NA,NA,NA,NA
"9","LEFTOVER:NOS",-0.000138844981912408,0.000145733148119299,-0.952734389562131,0.340724664511208
"10","LEFTOVER:NUMERROR",-0.00532688620980189,0.00161687440676501,-3.29455781321924,0.000985766646616481
"11","NOS:NUMERROR",0.00195283023484879,0.000480402611524564,4.06498671739409,4.80351975388121e-05
