"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-12.2274599025879,17.3833278613339,-0.703401558097842,0.481805535813227
"2","MAS",NA,NA,NA,NA
"3","LEFTOVER",0.40363732079072,0.467598430302609,0.863213592332856,0.388020041789055
"4","NOS",-0.00807380084724063,0.161217720533102,-0.0500801079468364,0.960058551403394
"5","NUMERROR",5.94971561600442,5.0621929950358,1.17532374246477,0.239865219243459
"6","MAS:LEFTOVER",NA,NA,NA,NA
"7","MAS:NOS",NA,NA,NA,NA
"8","MAS:NUMERROR",NA,NA,NA,NA
"9","LEFTOVER:NOS",-0.000623588642025186,0.00381171740454297,-0.163597815851187,0.870047764237921
"10","LEFTOVER:NUMERROR",-0.124032954235983,0.0548353215460883,-2.26191715009339,0.0237025225626656
"11","NOS:NUMERROR",-0.0167104470329057,0.047253482751836,-0.353634188630391,0.723613049079234
