"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",2.15170077092811,0.711540117275695,3.0240048574723,0.00249452433352575
"2","MAS",NA,NA,NA,NA
"3","LEFTOVER",0.200042679127091,0.0404805467312503,4.9416990451036,7.74446967520825e-07
"4","NOS",-0.0265926506540216,0.00586119823691954,-4.53706726493487,5.70419169747867e-06
"5","NUMERROR",-0.182224462774849,0.150414611659547,-1.21148112383723,0.225711064769891
"6","MAS:LEFTOVER",NA,NA,NA,NA
"7","MAS:NOS",NA,NA,NA,NA
"8","MAS:NUMERROR",NA,NA,NA,NA
"9","LEFTOVER:NOS",-0.00186562819511024,0.00039463396941424,-4.72749012934546,2.27312110187858e-06
"10","LEFTOVER:NUMERROR",-0.00283541383726072,0.00195352026919328,-1.45143814577958,0.146657894255189
"11","NOS:NUMERROR",0.00603451842020678,0.00139085579850948,4.33870889180152,1.43322217268008e-05
