"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-2.39381138989126,1.24139191784499,-1.92832847989443,0.0538142815347116
"2","MAS",NA,NA,NA,NA
"3","LEFTOVER",0.363996110227506,0.0611190621718934,5.95552512248618,2.59238070867649e-09
"4","NOS",-0.0881252101850816,0.0640787040882248,-1.37526517489725,0.169049248966334
"5","NUMERROR",0.492764786557319,0.289443578011369,1.70245541442956,0.0886700296633422
"6","MAS:LEFTOVER",NA,NA,NA,NA
"7","MAS:NOS",NA,NA,NA,NA
"8","MAS:NUMERROR",NA,NA,NA,NA
"9","LEFTOVER:NOS",-0.017335781518994,0.00446463293095082,-3.88291306073891,0.000103212478692157
"10","LEFTOVER:NUMERROR",-0.0294359817960762,0.00724600705045746,-4.06237277870407,4.85764226179155e-05
"11","NOS:NUMERROR",0.038984320048297,0.0168244870962137,2.3171178904509,0.0204973107057771
