"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-10.2405568049782,13.8054393189817,-0.741776959672558,0.458222482444653
"2","MAS",NA,NA,NA,NA
"3","LEFTOVER",0.00154615824126312,0.187071139452437,0.00826508164641951,0.993405494040813
"4","NOS",0.0262703420562078,0.0766264820833023,0.342836332061398,0.731721591523829
"5","NUMERROR",4.80684192026294,4.05827072376428,1.18445570723392,0.23623271966937
"6","MAS:LEFTOVER",NA,NA,NA,NA
"7","MAS:NOS",NA,NA,NA,NA
"8","MAS:NUMERROR",NA,NA,NA,NA
"9","LEFTOVER:NOS",0.000196941863564018,0.00081156138374003,0.242670323539082,0.808260798726691
"10","LEFTOVER:NUMERROR",-0.0246635108243969,0.0109263960356117,-2.25724115655452,0.023993010006732
"11","NOS:NUMERROR",-0.0183295071606098,0.0228227729525433,-0.803123581815557,0.421903308850783
