"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",1.1324094584618,2.77131512535467,0.408618077425198,0.682819962177901
"2","MAS",-0.0527779408547355,0.267778727003864,-0.19709534601669,0.843752925337819
"3","LEFTOVER",-0.162870552074477,0.102134414008262,-1.59466868886428,0.110786343399215
"4","NOS",0.405837131207671,0.0575221524427164,7.05531893320274,1.72205286841468e-12
"5","NUMERROR",0.272015243162452,0.406737479869043,0.668773488123182,0.503639981110138
"6","MAS:LEFTOVER",0.0180327768166169,0.0103165710161699,1.74794287640272,0.0804739193941506
"7","MAS:NOS",-0.0405175755548645,0.00552487626382386,-7.3336620803923,2.23947347028182e-13
"8","MAS:NUMERROR",0.00476703251451712,0.0388341248136299,0.122753700190097,0.902302138776994
"9","LEFTOVER:NOS",-0.000223594074939156,0.00034531042231372,-0.647516149211438,0.517297946136544
"10","LEFTOVER:NUMERROR",-0.00265033729915925,0.00156362052852794,-1.69500032188398,0.0900753597202285
"11","NOS:NUMERROR",0.00626861835189213,0.00205321030107352,3.05308148347717,0.00226504425221034
