"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-43.786236246518,27.7578981443778,-1.57743342160749,0.114695830296046
"2","MAS",NA,NA,NA,NA
"3","LEFTOVER",-1.88100214722155,1.83401337398722,-1.02562073641381,0.30507038920988
"4","NOS",0.122156796758031,0.0871714074933028,1.40134019021565,0.161112368280993
"5","NUMERROR",19.7060221329498,10.2644211564576,1.91983764428374,0.0548784102618062
"6","MAS:LEFTOVER",NA,NA,NA,NA
"7","MAS:NOS",NA,NA,NA,NA
"8","MAS:NUMERROR",NA,NA,NA,NA
"9","LEFTOVER:NOS",0.00636940981673003,0.00556432350228216,1.14468718688223,0.252338761054178
"10","LEFTOVER:NUMERROR",-0.0447606423605797,0.053004029539428,-0.844476217176728,0.398403347783421
"11","NOS:NUMERROR",-0.0597979371555919,0.0341672087878244,-1.75015575685249,0.0800914408230996
