"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.00369341040502023,0.00311208522899007,1.1867960332882,0.238502106479466
"2","MAS",NA,NA,NA,NA
"3","NOS",1.86791655894136e-05,2.46063069071424e-05,0.759121052171859,0.449808771315901
"4","UNDO",0.0163919312219625,0.0121691697981756,1.34700488971893,0.181437233906421
"5","MAS:NOS",NA,NA,NA,NA
"6","MAS:UNDO",NA,NA,NA,NA
"7","NOS:UNDO",-0.000174246746725045,0.000121666910750473,-1.43216216841741,0.155639957342779
